# HOW TO READ THIS SCHEDULE:
# - Columns represent sprint/week numbers. Sprint 0 = Week 1 (setup). Sprint 1 = Weeks 2-3. Each sprint = 2 weeks. Total template covers ~15 weeks (7 sprints).
# - Numbers in cells = estimated HOURS for that task in that week (not days, not story points).
# - Blank cells = no work allocated in that week for that task.
# - Phases: Refactor Phase (Sprints 0-5) -> Integration Phase (Sprint 6) -> Test Phase (Sprints 7-9) -> Production Cutover (Sprint 10) -> Burn-in & Knowledge Transfer (Sprints 11-14).
# - CDRL Documents: hours shown are estimated effort to produce each required deliverable.
# - Role totals at the bottom show total hours per role across all 15 weeks. Reference total = ~896 hours (Engineer + DevOps + PM).
# - MILESTONES are marked with * and have no hours — they are date markers only.
# - Interface inventory rows (Trading Partner, Interface Direction, etc.) appear in a separate tab in the original — use app-analysis-guide.md for the interface inventory schema.
,Sprint 0,Sprint 1,,Sprint 2,,Sprint 3,,Sprint 4,,Sprint 5,,Sprint 6,,Sprint 7,,
Weeks,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
,,,,,,,,,,,,,,,,
CDRL Documents,,,,,,,,,,,,,,,,
Config Mgmt Plan (DevOps),,,,,10,,,,5,,,,,,,
Test Report (Tech Arch + PM),,,,,,,10,,5,,,,,,,
Transition and Cutover Plan (Tech Arch + Engineer),,,,,,,10,,5,,,,,,,
Operations and Maintenance Plan (DevOps),,,,,10,,,,10,,,,,,,
ORR Presentation (TechArch + PM),,,,,,,,,,,,,,,,
KT Checklist (PM),,,,,,,,,,,,,,,,
Final Arch Diagram (Tech Arch + Engineer),,,,,,,,,5,,,,,,,
"Final Code, Config Files (DevOps)",,,,,,,,,,,3,,,,,
Refactor Phase,,,,,,,,,,,,,,,,
PROJECT MANAGEMENT,,,,,,,,,,,,,,,,
Project Management Oversight,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,
GCDS configuration,,,,,,,,,,,,,,,,
GCDS SSO setup,,,,,,,,,,,,,,,,
DNS Setup,,,,,,,,,,,,,,,,
